Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1196
Base Time Seconds,1622021132
Base Time Fractional,.860613947
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,7.433252699001e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:32,.860613947
2,8.048566260051e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:32,.881325429
3,8.100382138876e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:32,.902011151
4,8.463093290653e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:32,.922695492
5,7.67678732948e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:32,.943380214
6,7.838711950809e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:32,.986406097
7,8.455320908829e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.007090779
8,8.180696751055e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.027785040
9,7.926798944812e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.048467362
10,7.412526347471e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.069155483
11,7.78041908713e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.112401470
12,8.521386154331e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.133085091
13,8.266192951117e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.153769613
14,8.338735181472e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.174471315
15,8.62631569703e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.195160016
16,8.134064735039e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.238410063
17,8.316715749883e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.259093724
18,9.259764961275e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.279784186
19,8.65870062874e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.300466067
20,8.178108242165e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.321150129
21,8.180699036702e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.364423076
22,7.885348459507e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.385110717
23,8.349100681593e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.405796338
24,8.14960950226e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.426479900
25,8.157381885871e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.447165081
26,8.005820405468e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.490418428
27,8.086135036109e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.511108510
28,7.606838046802e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.531793451
29,8.008411200005e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.552476973
30,7.588702485045e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.573163174
31,6.965616398946e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.616405921
32,7.803738431598e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.637068862
33,8.365940846082e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.657730143
34,7.978617062832e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.678395824
35,7.578339306898e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.699052085
36,7.518751032551e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.742415933
37,8.197539201191e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.763108595
38,7.83482796604e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.783801996
39,8.457914052138e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.804491018
40,7.268739359751e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.825194000
41,7.636632183975e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.868434606
42,7.942345939317e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.889122888
43,8.052454707131e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.909817149
44,8.557659641805e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.930514331
45,7.65735854027e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.951206552
46,7.823169390624e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:33,.994439439
47,7.811510815209e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.015130100
48,7.681971088369e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.035820082
49,7.46304895001e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.056507483
50,7.786898267109e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.077201525
51,7.889234651313e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.120442492
52,7.054998810465e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.141130888
53,8.102975200598e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.161832010
54,7.478593717231e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.182530511
55,7.339986209513e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.203222173
56,8.426824517697e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.246452519
57,7.938459747512e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.267145821
58,8.248059694658e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.287837643
59,8.544705669121e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.308535684
60,7.676789499296e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.329227566
61,7.602951854997e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.372452392
62,6.999296727924e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.393144434
63,7.797261445257e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.413832195
64,7.242831414383e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.434521757
65,7.56797612875e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.455216418
66,7.424187031958e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.498453625
67,8.18976681758e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.519143626
68,7.719537609153e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.539842088
69,7.540772786114e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.560533829
70,8.568022819952e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.581229571
71,7.48766149811e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.624457157
72,7.803738431598e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.645147339
73,8.051159309862e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.665841560
74,7.732491581837e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.686529602
75,8.095202816988e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.707217863
76,7.407346867469e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.750458450
77,7.854258925066e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.771154772
78,8.102975200598e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.791854773
79,8.135360132308e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.812544675
80,7.921619583023e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.833243116
81,7.86721289775e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.876467843
82,8.516206929216e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.897158224
83,7.864622103213e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.917848266
84,7.685857280174e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.938539247
85,7.644404567586e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:34,.959232229
86,7.715651417348e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.002472215
87,7.864622103213e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.023159357
88,7.959186103806e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.043850979
89,8.625020299761e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.064543760
90,8.100384406061e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.085240342
91,8.209197776606e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.128482408
92,8.096498214256e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.149172030
93,7.575748512361e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.169874771
94,6.794623959518e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.190565673
95,7.420301576125e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.211255335
96,8.21308476792e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.254476081
97,7.665131679473e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.275169202
98,7.428073960358e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.295862144
99,7.972140856688e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.316549945
100,8.517503150391e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.337241647
101,7.605543400351e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.380485234
102,6.724673187245e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.401183855
103,7.443618728825e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.421873037
104,7.627565155679e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.442570378
105,7.833533337861e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.463266120
106,6.961730906361e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.506482086
107,7.830942543117e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.527176168
108,7.55761369758e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.547862849
109,7.990276419899e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.568555851
110,7.707879792756e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.589248792
111,7.688448832173e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.632455998
112,7.547250518602e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.653110260
113,8.223447946898e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.673774161
114,7.350350118025e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.694441622
115,7.399575218169e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.715104043
116,7.150858922704e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.758479431
117,7.930688140777e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.779172493
118,8.03172913581e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.799861514
119,7.797262211439e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.820550116
120,7.773945058739e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.841239478
121,8.056341685882e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.884493704
122,7.455277305175e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.905182406
123,7.263558494087e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.925873207
124,7.652177705751e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.946565109
125,6.925459779939e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:35,.967260130
126,7.944937511872e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.010498717
127,8.001934996249e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.031199239
128,6.946186137894e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.051882060
129,7.79208062195e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.072576162
130,7.623678963562e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.093266643
131,7.981208638294e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.136496550
132,7.97343625406e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.157189991
133,7.801148403556e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.177895373
134,7.700107408523e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.198585614
135,7.461754292036e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.219272316
136,8.816739943372e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.262504682
137,7.380144257586e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.283198244
138,7.859441285306e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.303881565
139,7.52263796853e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.324578587
140,8.022661354205e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.345274629
141,8.126293143982e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.388512195
142,7.66901787159e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.409202537
143,8.09002201756e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.429895318
144,7.496730021085e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.450583600
145,7.433255549847e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.471280181
146,7.250604520365e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.514511528
147,7.273921673064e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.535202889
148,8.119816157121e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.555892631
149,7.339986939047e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.576584612
150,7.500616213202e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.597278154
151,7.404756807658e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.640517300
152,8.023956751577e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.661213642
153,8.174222846754e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.681905344
154,7.365894886492e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.702595865
155,7.731196945456e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.723283707
156,7.478594457874e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.766521393
157,7.290761838903e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.787210695
158,7.845191914211e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.807902136
159,7.902189398589e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.828592978
160,7.836124132606e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.849285059
161,7.83871492735e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.892525506
162,7.439732536708e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.913216927
163,7.216924188687e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.933914109
164,7.53429654488e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.954604970
165,7.766172674506e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:36,.975307872
166,7.276512467809e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.018531238
167,7.672904063707e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.039221920
168,7.61072498984e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.059914502
169,8.496776792435e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.080609543
170,7.760991085017e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.101299405
171,7.109406206793e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.144532931
172,7.267444686203e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.165234253
173,7.691039626918e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.185928834
174,7.242832136131e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.206622556
175,7.213037150173e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.227320738
176,7.118473150919e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.270541004
177,7.675493968445e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.291236305
178,8.083544102215e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.311930587
179,7.790784323701e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.332619629
180,7.043340110415e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.353307830
181,7.507092325937e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.396545437
182,6.961730083661e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.417235778
183,7.15603967117e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.437926540
184,8.39703023673e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.458622041
185,7.163812054671e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.479314223
186,6.889187837658e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.522544129
187,6.908618796408e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.543242951
188,7.505796928687e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.563937132
189,7.126245534419e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.584628974
190,7.250603670425e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.605323016
191,6.93711753591e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.648515901
192,7.225991122674e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.669180063
193,7.240240492424e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.689838444
194,7.726014461198e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.710498005
195,7.487661367186e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.731155126
196,7.520046298438e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.774537834
197,8.095202677465e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.795228216
198,6.681924277647e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.815918857
199,6.802396221903e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.836613939
200,6.749284934651e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.857306461
201,7.106814575668e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.900554827
202,6.974684056162e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.921248469
203,0.0003779453668969,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.941941830
204,0.0003638164690937,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.962633392
205,0.0003638812389562,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:37,.983329314
206,0.0003643631267331,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.026559060
207,0.0003645483685399,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.047249441
208,0.0003646532957171,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.067938903
209,0.0003645069158279,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.088628564
210,0.0003646364555528,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.109320766
211,0.0003647465643191,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.152568333
212,0.000365290631164,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.173272634
213,0.0003653851951632,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.193962456
214,0.0003651429558775,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.214652897
215,0.00036510409396,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.235349559
216,0.0003654991901212,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.278570485
217,0.0003656818411334,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.299259287
218,0.0003654499650257,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.319948728
219,0.0003653916721495,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.340640030
220,0.0003655250980662,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:25:38,.361332331
